id,title,authors,categories,published_date,publisher,description,price,currency,thumbnail,info_link
MJcsAAAAYAAJ,No Reservations,Anthony Bourdain,Cooking,2007-11-06,Bloomsbury Publishing USA,"The host of the Travel Channel series ""No Reservations"" provides a behind-the-scenes account of his global culinary adventures, from New Jersey to New Zealand, offering commentary on food in every corner of the globe.",Not Available,,http://books.google.com/books/content?id=MJcsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=MJcsAAAAYAAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
a02sAgAAQBAJ,Pasta,"Silvano Serventi, Françoise Sabban",Cooking,2002,Columbia University Press,"Ranging from the imperial palaces of ancient China and the bakeries of fourteenth-century Genoa and Naples all the way to the restaurant kitchens of today, Pasta tells a story that will forever change the way you look at your next plate of vermicelli. Pasta has become a ubiquitous food, present in regional diets around the world and available in a host of shapes, sizes, textures, and tastes. Yet, although it has become a mass-produced commodity, it remains uniquely adaptable to innumerable recipes and individual creativity. Pasta: The Story of a Universal Food shows that this enormously popular food has resulted from of a lengthy process of cultural construction and widely diverse knowledge, skills, and techniques. Many myths are intertwined with the history of pasta, particularly the idea that Marco Polo brought pasta back from China and introduced it to Europe. That story, concocted in the early twentieth century by the trade magazine Macaroni Journal, is just one of many fictions umasked here. The true homelands of pasta have been China and Italy. Each gave rise to different but complementary culinary traditions that have spread throughout the world. From China has come pasta made with soft wheat flour, often served in broth with fresh vegetables, finely sliced meat, or chunks of fish or shellfish. Pastasciutta, the Italian style of pasta, is generally made with durum wheat semolina and presented in thick, tomato-based sauces. The history of these traditions, told here in fascinating detail, is interwoven with the legacies of expanding and contracting empires, the growth of mercantilist guilds and mass industrialization, and the rise of food as an art form. Whether you are interested in the origins of lasagna, the strange genesis of the Chinese pasta bing or the mystique of the most magnificent pasta of all, the timballo, this is the book for you. So dig in!",Not Available,,http://books.google.com/books/content?id=a02sAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=a02sAgAAQBAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
YXGlAr17oekC,Around the Roman Table,Patrick Faas,Cooking,2005-04,University of Chicago Press,"Looks at the dining customs, social traditions, and food of the Roman Empire, and includes recipes reconstructed for the modern cook.",Not Available,,http://books.google.com/books/content?id=YXGlAr17oekC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=YXGlAr17oekC&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
kjzu1ZPnMVAC,World Cheese Book,Juliet Harbutt,Cooking,2009-10,Dorling Kindersley Ltd,"Explore cheese in its many glorious varieties � the science, the smells, the succulence! The grandest fromages, the finest Feta, the most delicious Manchego: celebrate the glorious variety, quality and pleasure of great cheeses from around the world. You�ll find detailed profiles of over 800 cheeses from France to Australia. Develop an in-depth understanding of different cheese � from its provenance, to the producers, science, smells, and how to savour each taste. Plus, discover what to buy, where and how to serve it. No cheese lover should be without it!",Not Available,,http://books.google.com/books/content?id=kjzu1ZPnMVAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=kjzu1ZPnMVAC&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
dbWcda9KW2kC,Cheese,Andrew Dalby,Cooking,2009-11-15,Reaktion Books,"Take a slice of bread. It’s perfectly okay in and of itself. Maybe it has a nice, crisp crust or the scent of sourdough. But really, it’s kind of boring. Now melt some cheese on it—a sharp Vermont cheddar or a flavorful Swiss Gruyere. Mmm, delicious. Cheese—it’s the staple food, the accessory that makes everything better, from the hamburger to the ordinary sandwich to a bowl of macaroni. Despite its many uses and variations, there has never before been a global history of cheese, but here at last is a succinct, authoritative account, revealing how cheese was invented and where, when, and even why. In bite-sized chapters well-known food historian Andrew Dalby tells the true and savory story of cheese, from its prehistoric invention to the moment of its modern rebirth. Here you will find the most ancient cheese appellations, the first written description of the cheese-making process, a list of the luxury cheeses of classical Rome, the medieval rule-of-thumb for identifying good cheese, and even the story of how loyal cheese lover Samuel Pepys saved his parmesan from the great Fire of London. Dalby reveals that cheese is one of the most ancient of civilized foods, and he suggests that our passion for cheese may even lay behind the early establishment of global trade. Packed with entertaining cheese facts, anecdotes, and images, Cheese also features a selection of historic recipes. For those who crave a pungent stilton, a creamy brie, or a salty pecorino, Cheese is the perfect snack of a book.",Not Available,,http://books.google.com/books/content?id=dbWcda9KW2kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=dbWcda9KW2kC&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
MJcsAAAAYAAJ,No Reservations,Anthony Bourdain,Cooking,2007-11-06,Bloomsbury Publishing USA,"The host of the Travel Channel series ""No Reservations"" provides a behind-the-scenes account of his global culinary adventures, from New Jersey to New Zealand, offering commentary on food in every corner of the globe.",Not Available,,http://books.google.com/books/content?id=MJcsAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=MJcsAAAAYAAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
50s2EAAAQBAJ,Essentials of Professional Cooking,Wayne Gisslen,Cooking,2015-03-23,John Wiley & Sons,"Essentials of Professional Cooking, Second Edition, focuses on fundamental cooking procedures and techniques, functions of ingredients, and desired results to empower the reader with the keen understanding necessary to prepare virtually any dish to perfection—without relying solely on a recipe. Specially constructed to meet the on-the-job demands of food-service managers, the streamlined approach of Essentials of Professional Cooking, Second Edition, extends the benefits of this material to students and professionals in hospitality management and food-service management.",Not Available,,http://books.google.com/books/content?id=50s2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=50s2EAAAQBAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
RBcuEAAAQBAJ,The History of Sweets,Paul Chrystal,Cooking,2021-06-30,Pen and Sword History,"A chronicle of confectionaries throughout the centuries—from honeycombs to Haribo. “There is much to get your teeth into within these pages.” —Best of British Magazine We all remember sweets—objects of pure delight and the endless cause of squabbles, fights even, hoarding and swapping; a chance to gorge, suck, crunch, and chew. But they’re by no means just a nostalgic thing of days past, and it’s not only children who love and devour sweets—gobstoppers, bulls eyes, licorice, seaside rock, bubble gum, and the like; grown-ups of all ages are partial to a good humbug, or a lemon sherbet or two—in the car, (annoyingly) at the cinema or while out walking—wherever and whenever, the sweet is there, the sweet delivers and the sweet rarely disappoints. Sweets then are ubiquitous and enduring; they cross age, culture, and gender boundaries and they have been around, it seems, forever. This book tells the story of sweets from their primitive beginnings to their place today as a billion-pound commodity with its sophisticated, seductive packaging and sales, advertising and marketing. It explores the people’s favorites, past and present; but there is also a dark side to sweets—and this book does not shy away from the deleterious effect on health as manifested in obesity, tooth decay, and diabetes. It delves into sweet and candy shops in supermarkets and markets, retro sweet shops, fudge makers, vintage sweets online, sweet manufacturing, chocolate, the grey line between sweets and “medicines” ancient and modern. It goes round the world unwrapping sweets from different countries and cultures and it examines how immigrants from all nations have changed our own sweet world.",Not Available,,http://books.google.com/books/content?id=RBcuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RBcuEAAAQBAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
bEk6EAAAQBAJ,A House of Pomegranates,Oscar Wilde,Cooking,2021-08-09,Phoemixx Classics Ebooks,"A House of Pomegranates - Oscar Wilde - A House of Pomegranates is a collection of four fairy tales by Oscar Wilde, first published in 1891; The Young King (about the illegitimate son of a king's daughter); The Birthday Of The Infanta (about a hunchbacked dwarf found in the woods by courtiers of the King of Spain); The Fisherman And His Soul (about a young Fisherman who finds a Mermaid and wants nothing more than to marry her, but he cannot); and, The Star-Child (an infant boy found abandoned in the woods by a poor woodcutter).",Not Available,,http://books.google.com/books/content?id=bEk6EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=bEk6EAAAQBAJ&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
oozKW1tcV8YC,I Want to be a Chef,Murdoch Books Test Kitchen,Cooking,2009-12-01,Allen & Unwin,"I Want to Be a Chef is packed with recipes for breakfast, lunchtime and dinner, with plenty of healthy snacks and sweet treats, too. There are clear step-by-step photographs to teach budding chefs basic techniques and there's information on the rules of the kitchen, nutrition, and health and safety advice when handling food. This colourful collection of easy, yet sophisticated recipes will have young cooks mixing, chopping, rolling out, whisking, baking and stir-frying their way to a lifetime of successful results in the kitchen. Learning to cook opens the way to a lifetime of happy experiences. Start cooking for family and friends and you'll quickly realise what a very rewarding thing it is to do. All titles in this series: I Want to Be a Chef I Want to Be a Chef - Baking I Want to Be a Chef - Around the World",Not Available,,http://books.google.com/books/content?id=oozKW1tcV8YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=oozKW1tcV8YC&dq=subject:Cooking&hl=&as_pt=BOOKS&source=gbs_api
